base_name,Critic_Score,Global_Sales,Price,if_not_score,Company_Size_Large,Company_Size_Medium,Company_Size_Small,ESRB_Rating_Level1,ESRB_Rating_Level2,ESRB_Rating_Level3,ESRB_Rating_Level4,Platform_Game Console,Platform_Handheld,Platform_PC,Genre_Action,Genre_Action-Adventure,Genre_Adventure,Genre_Fighting,Genre_MMO,Genre_Misc,Genre_Music,Genre_Party,Genre_Platform,Genre_Puzzle,Genre_Racing,Genre_Role-Playing,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Genre_Visual Novel
007_legends,0.0,0.6155999999999999,20.146666666666665,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0_ji_no_kane_to_cinderella_halloween_wedding,0.0,0.008100000000000001,18.764469026548674,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1000_cooking_recipes_from_elle_a_table,0.0,0.024300000000000002,18.764469026548674,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1001_touch_games,0.0,0.2511,13.04,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100_classic_books,4.0,0.5427000000000001,16.16,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100_classic_games,0.0,0.032400000000000005,18.764469026548674,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100_pascal_sensei_kanpeki_paint_bombers,0.0,0.024300000000000002,23.23166666666666,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101_in_1_sports_megamix,0.0,0.06480000000000001,14.26,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101_in_1_sports_party_megamix,0.0,0.024300000000000002,78.51,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10_minute_solution,0.0,0.06480000000000001,9.87,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10_rebirth,3.3,0.06480000000000001,20.769711779448627,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11eyes_crossover,0.0,0.016200000000000003,24.132265625000002,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_sai_honto_no_kimochi,0.0,0.05670000000000001,24.132265625000002,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_sai_koisuru_diary,0.0,0.06480000000000001,24.132265625000002,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_sai_torokeru_puzzle_futari_no_harmony,0.0,0.008100000000000001,19.55727272727273,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12_summer_,0.0,0.008100000000000001,18.764469026548674,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18_wheels_of_steel_extreme_trucker_2,0.0,0.1053,23.240143004115218,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1_am_setsuna,0.0,0.05670000000000001,26.371399999999987,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
