base_name,Genre,Company_Size,ESRB_Rating,Platform,Critic_Score,Global_Sales,Price,if_not_score
007_legends,Shooter,Large,Level2,Game Console,0.0,0.6155999999999999,20.146666666666665,1
0_ji_no_kane_to_cinderella_halloween_wedding,Misc,Small,Level4,Handheld,0.0,0.008100000000000001,18.764469026548674,1
1000_cooking_recipes_from_elle_a_table,Misc,Large,Level4,Handheld,0.0,0.024300000000000002,18.764469026548674,1
1001_touch_games,Action,Medium,Level1,Handheld,0.0,0.2511,13.04,1
100_classic_books,Misc,Large,Level4,Handheld,4.0,0.5427000000000001,16.16,0
100_classic_games,Misc,Small,Level4,Handheld,0.0,0.032400000000000005,18.764469026548674,1
100_pascal_sensei_kanpeki_paint_bombers,Action,Small,Level4,Handheld,0.0,0.024300000000000002,23.23166666666666,1
101_in_1_sports_megamix,Sports,Medium,Level1,Handheld,0.0,0.06480000000000001,14.26,1
101_in_1_sports_party_megamix,Sports,Medium,Level1,Game Console,0.0,0.024300000000000002,78.51,1
10_minute_solution,Sports,Large,Level1,Game Console,0.0,0.06480000000000001,9.87,1
10_rebirth,Simulation,Small,Level2,PC,3.3,0.06480000000000001,20.769711779448627,0
11eyes_crossover,Adventure,Medium,Level4,Handheld,0.0,0.016200000000000003,24.132265625000002,1
12_sai_honto_no_kimochi,Adventure,Small,Level4,Handheld,0.0,0.05670000000000001,24.132265625000002,1
12_sai_koisuru_diary,Adventure,Small,Level4,Handheld,0.0,0.06480000000000001,24.132265625000002,1
12_sai_torokeru_puzzle_futari_no_harmony,Puzzle,Small,Level4,Handheld,0.0,0.008100000000000001,19.55727272727273,1
12_summer_,Misc,Small,Level4,Handheld,0.0,0.008100000000000001,18.764469026548674,1
18_wheels_of_steel_extreme_trucker_2,Racing,Medium,Level1,PC,0.0,0.1053,23.240143004115218,1
1_am_setsuna,Role-Playing,Medium,Level1,Game Console,0.0,0.05670000000000001,26.371399999999987,1
1_am_setsuna,Role-Playing,Medium,Level1,Handheld,7.0,0.04050000000000001,49.88,0
1_am_setsuna,Role-Playing,Medium,Level1,Handheld,0.0,0.05670000000000001,41.378476562499976,1
1_doll_u,Adventure,Large,Level4,Handheld,0.0,0.016200000000000003,24.132265625000002,1
1_dont_have_many_friends_portable,Visual Novel,Large,Level4,Handheld,0.0,0.05670000000000001,36.85142857142857,1
1_heart_geeks,Puzzle,Small,Level1,Handheld,0.0,0.024300000000000002,5.45,1
1_love_horses_riders_paradise,Simulation,Small,Level1,Game Console,0.0,0.016200000000000003,24.51,1
1_love_puppies,Simulation,Small,Level1,Handheld,0.0,0.0729,8.04,1
1_spy_castle,Puzzle,Small,Level1,Handheld,0.0,0.1539,6.18,1
1_spy_spooky_mansion,Puzzle,Small,Level1,Game Console,0.0,0.243,8.23,1
1_spy_universe,Puzzle,Small,Level1,Handheld,0.0,0.1053,6.24,1
2010_fifa_world_cup_south_africa,Sports,Medium,Level1,Game Console,7.800000000000001,2.025,10.626666666666667,0
2010_fifa_world_cup_south_africa,Sports,Medium,Level1,Handheld,6.8,0.3807,10.14,0
2014_fifa_world_cup_brazil,Sports,Medium,Level1,Game Console,7.6,0.8910000000000001,7.455,0
2_in_1_combo_pack_sonic_heroes__super_monkey_ball_deluxe,Misc,Large,Level4,Game Console,0.0,0.09720000000000001,19.401356589147277,1
2nd_super_robot_wars_original_generation,Role-Playing,Large,Level4,Game Console,0.0,0.243,26.371399999999987,1
3_in_1_solitaire_mahjong__tangram,Misc,Small,Level4,Handheld,0.0,0.06480000000000001,18.764469026548674,1
3d_dot_game_heroes,Role-Playing,Medium,Level1,Game Console,7.5,0.4617,35.89,0
3rd_super_robot_wars_z_jigoku_hen,Misc,Large,Level4,Game Console,0.0,0.18630000000000002,19.401356589147277,1
3rd_super_robot_wars_z_jigoku_hen,Misc,Large,Level4,Handheld,0.0,0.1539,18.764469026548674,1
3rd_super_robot_wars_z_tengoku_hen,Action,Large,Level4,Game Console,0.0,0.12960000000000002,20.36575221799746,1
3rd_super_robot_wars_z_tengoku_hen,Action,Large,Level4,Handheld,0.0,0.16200000000000003,23.23166666666666,1
428_shibuya_scramble,Visual Novel,Small,Level2,Game Console,0.0,0.016200000000000003,33.39,1
4_elements,Puzzle,Small,Level1,Handheld,0.0,0.016200000000000003,19.55727272727273,1
4_play_collection___dark_mysteries,Misc,Small,Level4,PC,0.0,0.016200000000000003,19.148836257309917,1
4_play_collection_treasure_hunters,Puzzle,Small,Level4,PC,0.0,0.008100000000000001,19.540153256704986,1
50_classic_games,Misc,Small,Level4,Handheld,0.0,0.008100000000000001,28.84,1
7_days_to_die,Action,Small,Level3,Game Console,0.0,0.2673,58.045,1
7_roses_a_darkness_rises,Misc,Small,Level4,PC,0.0,0.016200000000000003,19.148836257309917,1
7_wonders_2,Puzzle,Small,Level1,Handheld,0.0,0.2511,9.47,1
7_wonders_treasures_of_seven,Puzzle,Small,Level1,Handheld,0.0,0.024300000000000002,6.93,1
7scarlet,Adventure,Medium,Level4,Handheld,0.0,0.016200000000000003,23.16,1
7th_dragon_2020,Role-Playing,Large,Level4,Handheld,0.0,0.16200000000000003,41.378476562499976,1
7th_dragon_3_code_vfd,Role-Playing,Large,Level2,Handheld,7.5,0.19440000000000002,40.59,0
88_heroes_98_heroes_edition,Action,Small,Level1,Handheld,0.0,0.016200000000000003,23.23166666666666,1
8_bit_armies,Strategy,Small,Level1,Game Console,6.9,0.048600000000000004,15.489999999999998,0
8_to_glory_the_official_game_of_the_pbr,Sports,Small,Level1,Game Console,0.0,0.048600000000000004,18.925883584589617,1
