id,console-name,product-name,new-price
32693,Nintendo 3DS,50 Classic Games,$28.84
36722,Nintendo 3DS,7th Dragon III Code VFD,$40.59
37776,Nintendo 3DS,7th Dragon III Code VFD Launch Edition,$42.72
32250,Nintendo 3DS,Ace Combat Assault Horizon Legacy,$20.00
35549,Nintendo 3DS,Ace Combat: Assault Horizon Legacy Plus,$29.99
34583,Nintendo 3DS,Adventure Time: Explore the Dungeon Because I Don't Know,$8.05
34584,Nintendo 3DS,Adventure Time: Explore the Dungeon Because I Don't Know [Collector's Edition],$21.34
36134,Nintendo 3DS,Adventure Time: Finn and Jake Investigations,$7.50
33368,Nintendo 3DS,Adventure Time: Hey Ice King,$14.46
33919,Nintendo 3DS,Adventure Time: Hey Ice King Collector's Edition,$54.91
35328,Nintendo 3DS,Adventure Time: The Secret of the Nameless Kingdom,$18.12
32374,Nintendo 3DS,Adventures of Tintin: The Game,$8.32
40258,Nintendo 3DS,Alien Chaos,$199.99
45706,Nintendo 3DS,Alliance Alive,$23.47
68581,Nintendo 3DS,Alliance Alive [Launch Edition],$30.06
32877,Nintendo 3DS,Amazing Spiderman,$19.02
34839,Nintendo 3DS,Amazing Spiderman 2,$16.14
33424,Nintendo 3DS,American Mensa Academy,$26.57
34466,Nintendo 3DS,Angry Birds Star Wars,$6.24
33110,Nintendo 3DS,Angry Birds Trilogy,$15.33
36069,Nintendo 3DS,Animal Crossing Happy Home Designer,$16.67
58114,Nintendo 3DS,Animal Crossing Happy Home Designer [NFC Reader Bundle],$75.00
34064,Nintendo 3DS,Animal Crossing: New Leaf,$35.98
53915,Nintendo 3DS,Animal Crossing: New Leaf [Nintendo Selects],$34.99
46405,Nintendo 3DS,Are You Smarter Than A 5th Grader?,$4.00
33152,Nintendo 3DS,Art Academy: Lessons for Everyone,$20.72
31094,Nintendo 3DS,Asphalt: 3D,$21.14
39504,Nintendo 3DS,Asphalt: 3D [Not for Resale],
36971,Nintendo 3DS,Azure Striker Gunvolt Striker Pack,$25.12
36217,Nintendo 3DS,Barbie and Her Sisters: Puppy Rescue,$29.97
34590,Nintendo 3DS,Barbie: Dreamhouse Party,$27.76
58166,Nintendo 3DS,Barbie: Groom and Glam Pups,$719.99
34462,Nintendo 3DS,Batman: Arkham Origins Blackgate,$16.15
32739,Nintendo 3DS,Battleship,$8.99
31840,Nintendo 3DS,Ben 10: Galactic Racing,$12.72
33313,Nintendo 3DS,Ben 10: Omniverse,$21.25
34505,Nintendo 3DS,Ben 10: Omniverse 2,$26.22
34482,Nintendo 3DS,Beyblade: Evolution,$26.61
34483,Nintendo 3DS,Beyblade: Evolution Collector's Edition,$22.38
35609,Nintendo 3DS,Big Hero 6: Battle in the Bay,$5.57
31710,Nintendo 3DS,Bit.Trip Saga,$7.71
31447,Nintendo 3DS,BlazBlue: Continuum Shift II,$54.56
35828,Nintendo 3DS,Boulder Dash-XL 3D,$18.61
33841,Nintendo 3DS,Brain Age: Concentration Training,$29.53
33234,Nintendo 3DS,Bratz Fashion Boutique,$9.21
34665,Nintendo 3DS,Bravely Default,$46.01
34666,Nintendo 3DS,Bravely Default: Collector's Edition,$119.37
36531,Nintendo 3DS,Bravely Second: End Layer,$18.77
36532,Nintendo 3DS,Bravely Second: End Layer [Collector's Edition],$69.41
31737,Nintendo 3DS,Brunswick Pro Bowling,$25.60
31264,Nintendo 3DS,Bust-a-Move Universe,$10.50
32217,Nintendo 3DS,Captain America: Super Soldier,$28.73
47060,Nintendo 3DS,Captain Toad: Treasure Tracker,$25.00
32261,Nintendo 3DS,Carnival Games Wild West 3D,$13.25
32150,Nintendo 3DS,Cars 2,$13.47
37104,Nintendo 3DS,Cartoon Network Battle Crashers,$8.07
31750,Nintendo 3DS,Cartoon Network: Punch Time Explosion,$20.65
33890,Nintendo 3DS,Castlevania: Mirror Of Fate,$20.83
32094,Nintendo 3DS,Cave Story 3D,$31.48
31887,Nintendo 3DS,Centipede: Infestation,$14.03
36098,Nintendo 3DS,Chibi-Robo Zip Lash,$8.39
42361,Nintendo 3DS,Chibi-Robo Zip Lash [amiibo Bundle],$13.92
32513,Nintendo 3DS,Circle Pad Pro,$32.73
71644,Nintendo 3DS,Circle Pad Pro XL,$28.80
33421,Nintendo 3DS,Classic Games Overload,$24.49
35325,Nintendo 3DS,Cloudy Chance Meatballs 2,$8.99
35760,Nintendo 3DS,Code Name: S.T.E.A.M.,$4.43
